Umbral Vitality;Vitality;16;4.4;0;0;0;0;0;0;0
Vitality;Vitality;6;4.4;0;0;0;0;0;0;0
Umbral Fiber;Fiber;16;0;0;1.1;0;0;0;0;0
Steel Fiber;Fiber;7;0;0;1.1;0;0;0;0;0
Umbral Intensify;Intensify;16;0;0;0;0;0.44;0;0;0
Intensify;Intensify;6;0;0;0;0;0.3;0;0;0
Redirection;Redirection;7;0;4.4;0;0;0;0;0;0
Vigor;Vigor;6;1.2;1.2;0;0;0;0;0;0
Primed Vigor;Vigor;8;2.2;2.2;0;0;0;0;0;0
Overextended;Overextended;6;0;0;0;0;-0.6;0;0.9;0
Narrow Minded;Narrow Minded;8;0;0;0;0;0;0;-0.66;0.99
Gladiator Aegis;Gladiator Aegis;5;0;0;0.45;0;0;0;0;0
Gladiator Resolve;Gladiator Resolve;5;1.8;0;0;0;0;0;0;0
Augur Accord;Augur Accord;4;0;1.8;0;0;0;0;0;0
Armored Agility;Armored Agility;6;0;0;0.45;0;0;0;0;0
Blind Rage;Blind Rage;8;0;0;0;0;0.99;-0.55;0;0
Continuity;Continuity;5;0;0;0;0;0;0;0;0.3
Primed Continuity;Continuity;7;0;0;0;0;0;0;0;0.55
Transient Fortitude;Transient Fortitude;8;0;0;0;0;0.55;0;0;-0.275
Augur Message;Augur Message;4;0;0;0;0;0;0;0;0.24
Augur Reach;Augur Reach;4;0;0;0;0;0;0;0.3;0
Augur Secrets;Augur Secrets;4;0;0;0;0;0.24;0;0;0
Constitution;Constitution;7;0;0;0;0;0;0;0;0.28
Fleeting Expertise;Fleeting Expertise;6;0;0;0;0;0;0.6;0;-0.6
Fleeting Expertise;Fleeting Expertise;5;0;0;0;0;0;0.5;0;-0.5
Fleeting Expertise;Fleeting Expertise;5;0;0;0;0;0;0.4;0;-0.4
Fleeting Expertise;Fleeting Expertise;4;0;0;0;0;0;0.3;0;-0.3
Flow;Flow;5;0;0;1.5;0;0;0;0;0
Primed Flow;Flow;7;0;0;2.75;0;0;0;0;0
Streamline;Streamline;5;0;0;0;0;0;0.3;0;0
Streamline;Streamline;4;0;0;0;0;0;0.25;0;0
Streamline;Streamline;4;0;0;0;0;0;0.2;0;0
Stretch;Stretch;5;0;0;0;0;0;0;0.45;0
